step,train_loss,refusal_rate,refusal_rate_smoothed,gsm8k_accuracy,mean_alignment,lambda_layer_0,lambda_layer_1,lambda_layer_2,lambda_layer_3,lambda_layer_4,lambda_layer_5,lambda_layer_6,lambda_layer_7,lambda_layer_8,lambda_layer_9,lambda_layer_10,lambda_layer_11,lambda_layer_12,lambda_layer_13,lambda_layer_14,lambda_layer_15,lambda_layer_16,lambda_layer_17,lambda_layer_18,lambda_layer_19,lambda_layer_20,lambda_layer_21,lambda_layer_22,lambda_layer_23,lambda_layer_24,lambda_layer_25,lambda_layer_26,lambda_layer_27
1100,1.3977671372145415,0.85,0.85,0.525,0.0031954452694792834,0.0,0.6722799999999999,0.6859999999999999,0.9,0.4340627666233599,0.784,0.784,0.9,0.6859999999999999,0.737894528,0.7529536,0.784,0.9,0.86436,0.737894528,0.737894528,0.0,0.0,0.7529536,0.6588343999999998,0.6588343999999998,0.9,0.40853640344377334,0.40853640344377334,0.784,0.6588343999999998,0.9,0.5836234334911046
1200,1.3249424692988396,0.84,0.8533333333333334,0.525,0.0030798817585621563,0.0,0.6588343999999998,0.6722799999999999,0.9,0.4253815112908927,0.76832,0.76832,0.9,0.6722799999999999,0.72313663744,0.737894528,0.76832,0.9,0.9,0.72313663744,0.72313663744,0.0,0.0,0.737894528,0.6456577119999998,0.6456577119999998,0.9,0.40036567537489787,0.40036567537489787,0.85,0.6456577119999998,0.9,0.7
1300,1.4299096152558923,0.82,0.8366666666666666,0.545,0.0031633462224687848,0.0,0.8,0.6588343999999998,0.882,0.41687388106507484,0.7529536,0.7529536,0.9,0.6588343999999998,0.85,0.72313663744,0.7529536,0.882,0.882,0.7086739046912,0.7086739046912,0.0,0.0,0.72313663744,0.6327445577599997,0.8,0.882,0.3923583618673999,0.3923583618673999,0.85,0.6327445577599997,0.9,0.6859999999999999
1400,1.364291172735393,0.82,0.8266666666666667,0.51,0.0033071024185379167,0.0,0.784,0.6456577119999998,0.9,0.40853640344377334,0.737894528,0.737894528,0.9,0.6456577119999998,0.833,0.7086739046912,0.737894528,0.86436,0.86436,0.85,0.694500426597376,0.0,0.0,0.85,0.6200896666047997,0.784,0.86436,0.3845111946300519,0.3845111946300519,0.85,0.6200896666047997,0.882,0.6722799999999999
1500,1.3828825167566539,0.8,0.8133333333333334,0.485,0.003625777234057231,0.0,0.76832,0.6327445577599997,0.882,0.40036567537489787,0.8,0.72313663744,0.9,0.8,0.81634,0.694500426597376,0.72313663744,0.8470728,0.8470728,0.85,0.6806104180654284,0.0,0.0,0.85,0.6076878732727037,0.76832,0.8470728,0.37682097073745086,0.37682097073745086,0.833,0.8,0.9,0.6588343999999998
1600,1.3953726182878017,0.77,0.7966666666666667,0.545,0.0028437110720135805,0.7,0.8,0.6200896666047997,0.86436,0.3923583618673999,0.784,0.7086739046912,0.882,0.784,0.9,0.6806104180654284,0.9,0.9,0.830131344,0.833,0.6669982097041198,0.0,0.0,0.833,0.5955341158072496,0.7529536,0.9,0.3692845513227018,0.8,0.9,0.784,0.882,0.6456577119999998
1700,1.375977433361113,0.76,0.7766666666666667,0.52,0.0030206707389360027,0.6859999999999999,0.784,0.6076878732727037,0.8470728,0.3845111946300519,0.76832,0.694500426597376,0.86436,0.76832,0.9,0.8,0.882,0.9,0.81352871712,0.81634,0.6536582455100374,0.0,0.0,0.85,0.5836234334911046,0.737894528,0.9,0.3618988602962478,0.784,0.882,0.76832,0.9,0.6327445577599997
1800,1.4010660427063704,0.77,0.7666666666666666,0.555,0.0033189223779897603,0.6722799999999999,0.9,0.5955341158072496,0.830131344,0.37682097073745086,0.7529536,0.6806104180654284,0.8470728,0.7529536,0.882,0.9,0.86436,0.882,0.7972581427776,0.8000132,0.6405850805998367,0.7,0.7,0.833,0.5719509648212825,0.72313663744,0.9,0.7,0.9,0.86436,0.7529536,0.882,0.9
1900,1.35792693272233,0.75,0.7600000000000001,0.5,0.00285952420173479,0.6588343999999998,0.882,0.5836234334911046,0.81352871712,0.3692845513227018,0.737894528,0.6669982097041198,0.9,0.737894528,0.86436,0.882,0.8470728,0.86436,0.781312979922048,0.784012936,0.6277733789878399,0.9,0.6859999999999999,0.9,0.5605119455248568,0.9,0.882,0.6859999999999999,0.9,0.9,0.737894528,0.9,0.9
2000,1.2604048696905374,0.76,0.7600000000000001,0.52,0.002093169484786423,0.6456577119999998,0.86436,0.5719509648212825,0.7972581427776,0.3618988602962478,0.72313663744,0.6536582455100374,0.882,0.72313663744,0.8470728,0.86436,0.830131344,0.8470728,0.765686720323607,0.76833267728,0.6152179114080831,0.882,0.6722799999999999,0.882,0.5493017066143597,0.882,0.86436,0.6722799999999999,0.882,0.882,0.72313663744,0.882,0.882
