step,train_loss,refusal_rate,refusal_rate_smoothed,baseline_refusal_rate,gsm8k_accuracy,mean_alignment,lambda_layer_model.layers.0.self_attn.q_proj,lambda_layer_model.layers.0.self_attn.v_proj,lambda_layer_model.layers.1.self_attn.q_proj,lambda_layer_model.layers.1.self_attn.v_proj,lambda_layer_model.layers.2.self_attn.q_proj,lambda_layer_model.layers.2.self_attn.v_proj,lambda_layer_model.layers.3.self_attn.q_proj,lambda_layer_model.layers.3.self_attn.v_proj,lambda_layer_model.layers.4.self_attn.q_proj,lambda_layer_model.layers.4.self_attn.v_proj,lambda_layer_model.layers.5.self_attn.q_proj,lambda_layer_model.layers.5.self_attn.v_proj,lambda_layer_model.layers.6.self_attn.q_proj,lambda_layer_model.layers.6.self_attn.v_proj,lambda_layer_model.layers.7.self_attn.q_proj,lambda_layer_model.layers.7.self_attn.v_proj,lambda_layer_model.layers.8.self_attn.q_proj,lambda_layer_model.layers.8.self_attn.v_proj,lambda_layer_model.layers.9.self_attn.q_proj,lambda_layer_model.layers.9.self_attn.v_proj,lambda_layer_model.layers.10.self_attn.q_proj,lambda_layer_model.layers.10.self_attn.v_proj,lambda_layer_model.layers.11.self_attn.q_proj,lambda_layer_model.layers.11.self_attn.v_proj,lambda_layer_model.layers.12.self_attn.q_proj,lambda_layer_model.layers.12.self_attn.v_proj,lambda_layer_model.layers.13.self_attn.q_proj,lambda_layer_model.layers.13.self_attn.v_proj,lambda_layer_model.layers.14.self_attn.q_proj,lambda_layer_model.layers.14.self_attn.v_proj,lambda_layer_model.layers.15.self_attn.q_proj,lambda_layer_model.layers.15.self_attn.v_proj,lambda_layer_model.layers.16.self_attn.q_proj,lambda_layer_model.layers.16.self_attn.v_proj,lambda_layer_model.layers.17.self_attn.q_proj,lambda_layer_model.layers.17.self_attn.v_proj,lambda_layer_model.layers.18.self_attn.q_proj,lambda_layer_model.layers.18.self_attn.v_proj,lambda_layer_model.layers.19.self_attn.q_proj,lambda_layer_model.layers.19.self_attn.v_proj,lambda_layer_model.layers.20.self_attn.q_proj,lambda_layer_model.layers.20.self_attn.v_proj,lambda_layer_model.layers.21.self_attn.q_proj,lambda_layer_model.layers.21.self_attn.v_proj,lambda_layer_model.layers.22.self_attn.q_proj,lambda_layer_model.layers.22.self_attn.v_proj,lambda_layer_model.layers.23.self_attn.q_proj,lambda_layer_model.layers.23.self_attn.v_proj,lambda_layer_model.layers.24.self_attn.q_proj,lambda_layer_model.layers.24.self_attn.v_proj,lambda_layer_model.layers.25.self_attn.q_proj,lambda_layer_model.layers.25.self_attn.v_proj,lambda_layer_model.layers.26.self_attn.q_proj,lambda_layer_model.layers.26.self_attn.v_proj,lambda_layer_model.layers.27.self_attn.q_proj,lambda_layer_model.layers.27.self_attn.v_proj
1100,1.3869876012951137,0.93,0.93,1.0,0.44,0.005966707386375804,0.16674955242602996,0.0,0.2,0.79,0.48019999999999996,0.1701526045163571,0.16674955242602996,0.184473632,0.48019999999999996,0.784,0.0,0.48019999999999996,0.18078415936,0.18078415936,0.0,0.0,0.0,0.784,0.173625106649344,0.6859999999999999,0.79,0.69,0.2,0.79,0.0,0.41687388106507484,0.6859999999999999,0.1771684761728,0.6722799999999999,0.18078415936,0.173625106649344,0.49,0.0,0.173625106649344,0.784,0.41687388106507484,0.0,0.6859999999999999,0.184473632,0.6722799999999999,0.6722799999999999,0.173625106649344,0.40853640344377334,0.588,0.16674955242602996,0.18078415936,0.69,0.79,0.79,0.69,0.173625106649344,0.0,0.0,0.40853640344377334,0.173625106649344,0.588
1200,1.4082629552483559,0.94,0.93,1.0,0.475,0.004829523490375972,0.16341456137750934,0.0,0.196,0.85,0.47059599999999996,0.16674955242602996,0.6,0.18078415936,0.47059599999999996,0.76832,0.0,0.47059599999999996,0.1771684761728,0.1771684761728,0.0,0.0,0.0,0.76832,0.1701526045163571,0.6722799999999999,0.7742,0.6761999999999999,0.6,0.7742,0.0,0.40853640344377334,0.6722799999999999,0.173625106649344,0.6588343999999998,0.5,0.1701526045163571,0.7,0.4,0.1701526045163571,0.6,0.8,0.0,0.6722799999999999,0.18078415936,0.6588343999999998,0.6588343999999998,0.4,0.40036567537489787,0.8,0.16341456137750934,0.1771684761728,0.6761999999999999,0.7742,0.7742,0.6761999999999999,0.1701526045163571,0.0,0.0,0.40036567537489787,0.1701526045163571,0.57624
1300,1.4140782998502255,0.91,0.9266666666666667,1.0,0.475,0.0043227295266530874,0.16014627014995916,0.0,0.19208,0.84,0.46118407999999994,0.16341456137750934,0.79,0.1771684761728,0.46118407999999994,0.7529536,0.0,0.46118407999999994,0.173625106649344,0.173625106649344,0.0,0.0,0.0,0.7529536,0.16674955242602996,0.6588343999999998,0.82,0.83,0.588,0.758716,0.0,0.6,0.81,0.1701526045163571,0.6456577119999998,0.49,0.16674955242602996,0.6859999999999999,0.392,0.16674955242602996,0.588,0.81,0.0,0.6588343999999998,0.1771684761728,0.85,0.6456577119999998,0.392,0.3923583618673999,0.8,0.16014627014995916,0.173625106649344,0.6626759999999999,0.758716,0.758716,0.6626759999999999,0.16674955242602996,0.0,0.0,0.3923583618673999,0.16674955242602996,0.8
1400,1.3613664407283068,0.89,0.9133333333333334,1.0,0.505,0.005278760322003758,0.15694334474695998,0.0,0.6,0.8231999999999999,0.7,0.16014627014995916,0.7742,0.173625106649344,0.4519603983999999,0.737894528,0.0,0.4519603983999999,0.1701526045163571,0.5,0.0,0.0,0.0,0.737894528,0.16341456137750934,0.8,0.9,0.9,0.57624,0.74354168,0.0,0.588,0.7938000000000001,0.16674955242602996,0.6327445577599997,0.48019999999999996,0.16341456137750934,0.6722799999999999,0.7,0.16341456137750934,0.8,0.7938000000000001,0.0,0.6456577119999998,0.173625106649344,0.9,0.6327445577599997,0.38416,0.3845111946300519,0.784,0.15694334474695998,0.1701526045163571,0.6494224799999999,0.8,0.74354168,0.6494224799999999,0.16341456137750934,0.0,0.0,0.3845111946300519,0.16341456137750934,0.784
1500,1.3827696038037538,0.87,0.89,1.0,0.46,0.005211011115794203,0.15380447785202078,0.0,0.588,0.8067359999999999,0.72,0.15694334474695998,0.758716,0.1701526045163571,0.4429211904319999,0.72313663744,0.0,0.4429211904319999,0.16674955242602996,0.49,0.12,0.12,0.0,0.72313663744,0.16014627014995916,0.784,0.92,0.92,0.62,0.7286708464,0.0,0.57624,0.7779240000000001,0.16341456137750934,0.6200896666047997,0.47059599999999996,0.16014627014995916,0.6588343999999998,0.6859999999999999,0.16014627014995916,0.784,0.7779240000000001,0.0,0.6327445577599997,0.1701526045163571,0.882,0.6200896666047997,0.3764768,0.42,0.82,0.15380447785202078,0.16674955242602996,0.6364340303999999,0.784,0.7286708464,0.6364340303999999,0.16014627014995916,0.0,0.0,0.37682097073745086,0.16014627014995916,0.76832
1600,1.3732478607818484,0.9,0.8866666666666667,1.0,0.455,0.00510020418836835,0.15072838829498036,0.0,0.7,0.7906012799999999,0.76,0.15380447785202078,0.76,0.16674955242602996,0.4340627666233599,0.82,0.0,0.76,0.16341456137750934,0.48019999999999996,0.1176,0.1176,0.76,0.7086739046912,0.15694334474695998,0.76832,0.9016000000000001,0.9016000000000001,0.6076,0.7140974294720001,0.0,0.5647152,0.82,0.16014627014995916,0.6076878732727037,0.46118407999999994,0.76,0.6456577119999998,0.82,0.15694334474695998,0.76832,0.76236552,0.0,0.6200896666047997,0.16674955242602996,0.86436,0.6076878732727037,0.368947264,0.41159999999999997,0.8036,0.15072838829498036,0.16341456137750934,0.6237053497919999,0.82,0.7140974294720001,0.6237053497919999,0.15694334474695998,0.0,0.0,0.3692845513227018,0.15694334474695998,0.7529536
1700,1.3920084968209268,0.9,0.89,1.0,0.535,0.0044462967946726295,0.14771382052908075,0.0,0.6859999999999999,0.7747892543999998,0.85,0.15072838829498036,0.7448,0.16341456137750934,0.4253815112908927,0.85,0.0,0.7448,0.7,0.47059599999999996,0.11524799999999999,0.11524799999999999,0.8,0.694500426597376,0.75,0.7529536,0.883568,0.883568,0.595448,0.6998154808825601,0.0,0.553420896,0.8036,0.8,0.5955341158072496,0.4519603983999999,0.7448,0.6327445577599997,0.8036,0.15380447785202078,0.7529536,0.8,0.0,0.6076878732727037,0.16341456137750934,0.8470728,0.5955341158072496,0.36156831872,0.40336799999999995,0.85,0.14771382052908075,0.75,0.6112312427961598,0.85,0.6998154808825601,0.6112312427961598,0.15380447785202078,0.0,0.0,0.3618988602962478,0.15380447785202078,0.737894528
1800,1.3743056704476475,0.89,0.8966666666666666,1.0,0.5,0.00383380612142251,0.2,0.0,0.6722799999999999,0.7592934693119998,0.833,0.14771382052908075,0.8,0.16014627014995916,0.41687388106507484,0.833,0.3,0.8,0.6859999999999999,0.5,0.11294303999999998,0.11294303999999998,0.784,0.6806104180654284,0.8,0.737894528,0.86589664,0.86589664,0.58353904,0.6858191712649089,0.7,0.6,0.85,0.784,0.5836234334911046,0.5,0.729904,0.6200896666047997,0.787528,0.15072838829498036,0.737894528,0.784,0.0,0.5955341158072496,0.16014627014995916,0.830131344,0.5836234334911046,0.3543369523456,0.3953006399999999,0.833,0.14475954411849912,0.8,0.65,0.833,0.6858191712649089,0.5990066179402366,0.2,0.0,0.4,0.35466088309032284,0.15072838829498036,0.72313663744
1900,1.3400139614567161,0.87,0.8866666666666667,1.0,0.49,0.004602693360149195,0.196,0.0,0.6588343999999998,0.7441075999257598,0.81634,0.14475954411849912,0.8,0.15694334474695998,0.40853640344377334,0.81634,0.8,0.84,0.6722799999999999,0.49,0.11068417919999998,0.11068417919999998,0.76832,0.8,0.784,0.72313663744,0.89,0.89,0.5718682592,0.6721027878396106,0.79,0.588,0.833,0.76832,0.5719509648212825,0.49,0.82,0.6076878732727037,0.77177744,0.14771382052908075,0.72313663744,0.81,0.0,0.5836234334911046,0.15694334474695998,0.81352871712,0.5719509648212825,0.78,0.3873946271999999,0.81634,0.14186435323612914,0.784,0.637,0.81634,0.6721027878396106,0.5870264855814318,0.196,0.0,0.392,0.34756766542851636,0.14771382052908075,0.7086739046912
2000,1.278336812965572,0.88,0.88,1.0,0.505,0.004048550189639043,0.19208,0.0,0.6456577119999998,0.7292254479272446,0.8000132,0.14186435323612914,0.784,0.15380447785202078,0.40036567537489787,0.8000132,0.784,0.8231999999999999,0.6588343999999998,0.48019999999999996,0.10847049561599999,0.10847049561599999,0.7529536,0.784,0.76832,0.7086739046912,0.8722,0.8722,0.560430894016,0.6586607320828184,0.7742,0.57624,0.81634,0.7529536,0.5605119455248568,0.48019999999999996,0.8036,0.5955341158072496,0.7563418912000001,0.14475954411849912,0.7086739046912,0.7938000000000001,0.0,0.5719509648212825,0.15380447785202078,0.7972581427776,0.5605119455248568,0.7644,0.3796467346559999,0.8000132,0.13902706617140656,0.76832,0.62426,0.8000132,0.6586607320828184,0.5752859558698031,0.19208,0.0,0.38416,0.34061631211994603,0.14475954411849912,0.694500426597376
