step,train_loss,refusal_rate,refusal_rate_smoothed,alpaca_val_loss,mean_alignment,lambda_layer_0,lambda_layer_1,lambda_layer_2,lambda_layer_3,lambda_layer_4,lambda_layer_5,lambda_layer_6,lambda_layer_7,lambda_layer_8,lambda_layer_9,lambda_layer_10,lambda_layer_11,lambda_layer_12,lambda_layer_13,lambda_layer_14,lambda_layer_15,lambda_layer_16,lambda_layer_17,lambda_layer_18,lambda_layer_19,lambda_layer_20,lambda_layer_21,lambda_layer_22,lambda_layer_23,lambda_layer_24,lambda_layer_25,lambda_layer_26,lambda_layer_27
1100,4.8744081174395975,0.57,0.6,1.360546652471269,0.0058171554867710385,0.0,0.0,0.9,0.737894528,0.0,0.5955341158072496,0.5208753199480319,0.5955341158072496,0.72313663744,0.8,0.72313663744,0.7058939999999999,0.8,0.9,0.85,0.784,0.75,0.85,0.0,0.85,0.81634,0.784,0.81634,0.81634,0.76833267728,0.7058939999999999,0.784012936,0.0
1200,4.774673901898787,0.66,0.62,1.360257059468177,0.004977470471723271,0.0,0.0,0.882,0.85,0.0,0.5836234334911046,0.5104578135490713,0.5836234334911046,0.7086739046912,0.9,0.7086739046912,0.6917761199999999,0.85,0.882,0.833,0.76832,0.735,0.833,0.0,0.9,0.85,0.8,0.85,0.8000132,0.7529660237344,0.6917761199999999,0.76833267728,0.0
1300,4.710717549673282,0.65,0.6266666666666666,1.3553940573426497,0.006364284207977887,0.0,0.0,0.9,0.833,0.0,0.5719509648212825,0.5002486572780899,0.5719509648212825,0.694500426597376,0.9,0.694500426597376,0.6779405975999999,0.9,0.86436,0.81634,0.7529536,0.7202999999999999,0.81634,0.0,0.9,0.833,0.784,0.833,0.9,0.85,0.6779405975999999,0.85,0.0
1400,4.643005094702821,0.63,0.6466666666666666,1.3575826995292963,0.005563565712821271,0.0,0.0,0.85,0.81634,0.0,0.7,0.49024368413252806,0.5605119455248568,0.6806104180654284,0.8,0.6806104180654284,0.8,0.882,0.85,0.85,0.737894528,0.7058939999999999,0.8000132,0.0,0.8,0.81634,0.85,0.9,0.9,0.833,0.6643817856479999,0.833,0.0
1500,4.633744674064219,0.6,0.6266666666666666,1.3590228361476873,0.005787353954344455,0.0,0.0,0.9,0.8000132,0.0,0.6859999999999999,0.48043881044987746,0.5493017066143597,0.6669982097041198,0.9,0.6669982097041198,0.784,0.86436,0.9,0.833,0.72313663744,0.6917761199999999,0.784012936,0.0,0.784,0.9,0.833,0.9,0.882,0.81634,0.6510941499350399,0.81634,0.7
1600,4.41095720575191,0.6,0.61,1.3580577431410812,0.005689288747297334,0.0,0.0,0.9,0.784012936,0.0,0.6722799999999999,0.4708300342408799,0.5383156724820726,0.6536582455100374,0.9,0.6536582455100374,0.76832,0.8470728,0.9,0.81634,0.7086739046912,0.6779405975999999,0.76833267728,0.0,0.9,0.882,0.81634,0.9,0.86436,0.8000132,0.6380722669363391,0.8000132,0.6859999999999999
1700,4.359943801690824,0.65,0.6166666666666667,1.357372319465333,0.005679138528648764,0.0,0.0,0.9,0.76833267728,0.0,0.6588343999999998,0.4614134335560623,0.5275493590324312,0.6405850805998367,0.9,0.6405850805998367,0.7529536,0.830131344,0.9,0.8000132,0.694500426597376,0.6643817856479999,0.7529660237344,0.0,0.9,0.86436,0.8000132,0.9,0.9,0.784012936,0.6253108215976123,0.784012936,0.8
1800,4.380344523105305,0.67,0.64,1.3576944891634737,0.004946707664722843,0.0,0.0,0.9,0.7529660237344,0.0,0.6456577119999998,0.45218516488494104,0.5169983718517825,0.6277733789878399,0.9,0.6277733789878399,0.737894528,0.9,0.9,0.784012936,0.6806104180654284,0.6510941499350399,0.737906703259712,0.0,0.9,0.8470728,0.784012936,0.9,0.9,0.76833267728,0.61280460516566,0.76833267728,0.784
1900,4.544450351200067,0.61,0.6433333333333334,1.358808211634649,0.00598645191972277,0.0,0.0,0.882,0.737906703259712,0.0,0.6327445577599997,0.4431414615872422,0.5066584044147469,0.6152179114080831,0.882,0.6152179114080831,0.72313663744,0.882,0.882,0.76833267728,0.6669982097041198,0.6380722669363391,0.7231485691945178,0.8,0.882,0.9,0.76833267728,0.882,0.882,0.9,0.8,0.7529660237344,0.9
2000,4.49461996819824,0.6,0.6266666666666666,1.3599174516566264,0.006523640601829227,0.0,0.0,0.86436,0.7231485691945178,0.0,0.6200896666047997,0.43427863235549735,0.4965252363264519,0.6029135531799215,0.86436,0.6029135531799215,0.7086739046912,0.86436,0.86436,0.7529660237344,0.6536582455100374,0.6253108215976123,0.7086855978106273,0.784,0.86436,0.882,0.7529660237344,0.86436,0.86436,0.882,0.784,0.737906703259712,0.882
