step,train_loss,refusal_rate,refusal_rate_smoothed,gsm8k_accuracy,mean_alignment,lambda_layer_0,lambda_layer_1,lambda_layer_2,lambda_layer_3,lambda_layer_4,lambda_layer_5,lambda_layer_6,lambda_layer_7,lambda_layer_8,lambda_layer_9,lambda_layer_10,lambda_layer_11,lambda_layer_12,lambda_layer_13,lambda_layer_14,lambda_layer_15,lambda_layer_16,lambda_layer_17,lambda_layer_18,lambda_layer_19,lambda_layer_20,lambda_layer_21,lambda_layer_22,lambda_layer_23,lambda_layer_24,lambda_layer_25,lambda_layer_26,lambda_layer_27
1100,1.3947304270789027,0.84,0.8533333333333334,0.525,0.0064963576566827086,0.0,0.0,0.0,0.9,0.347250213298688,0.7,0.0,0.9,0.0,0.4340627666233599,0.9,0.9,0.833,0.833,0.6588343999999998,0.6327445577599997,0.0,0.0,0.7529536,0.8,0.72313663744,0.8,0.7,0.40853640344377334,0.86436,0.737894528,0.6722799999999999,0.6588343999999998
1200,1.324231482744217,0.87,0.86,0.495,0.0057530013644801715,0.0,0.0,0.0,0.882,0.3403052090327142,0.6859999999999999,0.0,0.9,0.0,0.4253815112908927,0.9,0.882,0.81634,0.9,0.6456577119999998,0.6200896666047997,0.0,0.0,0.737894528,0.784,0.7086739046912,0.85,0.6859999999999999,0.40036567537489787,0.85,0.72313663744,0.6588343999999998,0.6456577119999998
1300,1.428618553429842,0.86,0.8566666666666666,0.49,0.006078592617996037,0.0,0.0,0.0,0.9,0.3334991048520599,0.6722799999999999,0.0,0.9,0.0,0.41687388106507484,0.9,0.86436,0.85,0.882,0.6327445577599997,0.6076878732727037,0.0,0.0,0.85,0.76832,0.694500426597376,0.8,0.6722799999999999,0.3923583618673999,0.8,0.7086739046912,0.8,0.6327445577599997
1400,1.3628065787255763,0.84,0.8566666666666666,0.52,0.006272638553387618,0.0,0.0,0.0,0.9,0.3268291227550187,0.6588343999999998,0.0,0.9,0.0,0.40853640344377334,0.9,0.8470728,0.833,0.9,0.6200896666047997,0.5955341158072496,0.0,0.0,0.85,0.7529536,0.6806104180654284,0.784,0.85,0.3845111946300519,0.784,0.694500426597376,0.784,0.6200896666047997
1500,1.3820077972486615,0.81,0.8366666666666666,0.465,0.007145733979996294,0.0,0.0,0.0,0.9,0.3202925402999183,0.6456577119999998,0.0,0.9,0.0,0.40036567537489787,0.9,0.830131344,0.81634,0.9,0.6076878732727037,0.5836234334911046,0.0,0.0,0.9,0.737894528,0.6669982097041198,0.76832,0.833,0.37682097073745086,0.76832,0.9,0.9,0.6076878732727037
1600,1.396906541660428,0.77,0.8066666666666666,0.525,0.00748123084693881,0.4,0.8,0.0,0.882,0.31388668949391996,0.6327445577599997,0.4,0.882,0.0,0.6,0.882,0.81352871712,0.85,0.882,0.5955341158072496,0.5719509648212825,0.0,0.0,0.882,0.72313663744,0.6536582455100374,0.85,0.81634,0.6,0.7529536,0.882,0.882,0.5955341158072496
1700,1.3764376900345088,0.77,0.7833333333333333,0.495,0.0052227635917785975,0.7,0.8,0.0,0.86436,0.30760895570404156,0.6200896666047997,0.8,0.86436,0.0,0.8,0.9,0.7972581427776,0.833,0.86436,0.5836234334911046,0.7,0.0,0.0,0.86436,0.7086739046912,0.6405850805998367,0.833,0.8000132,0.588,0.737894528,0.86436,0.86436,0.5836234334911046
1800,1.4071782561019064,0.79,0.7766666666666667,0.47,0.003607203672540241,0.8,0.85,0.0,0.8470728,0.30145677658996073,0.6076878732727037,0.784,0.9,0.0,0.784,0.9,0.781312979922048,0.81634,0.9,0.5719509648212825,0.6859999999999999,0.0,0.0,0.8470728,0.694500426597376,0.6277733789878399,0.81634,0.85,0.8,0.72313663744,0.8470728,0.8470728,0.85
1900,1.3563932161033154,0.79,0.7833333333333333,0.51,0.0036228287042052087,0.85,0.833,0.0,0.830131344,0.2954276410581615,0.5955341158072496,0.76832,0.9,0.0,0.76832,0.9,0.765686720323607,0.8000132,0.85,0.5605119455248568,0.6722799999999999,0.0,0.0,0.830131344,0.6806104180654284,0.6152179114080831,0.8000132,0.833,0.784,0.7086739046912,0.9,0.9,0.833
2000,1.2600986378639936,0.73,0.77,0.47,0.003484837378242186,0.833,0.81634,0.0,0.81352871712,0.28951908823699823,0.5836234334911046,0.7529536,0.882,0.0,0.7529536,0.882,0.7503729859171349,0.784012936,0.833,0.5493017066143597,0.6588343999999998,0.0,0.0,0.81352871712,0.6669982097041198,0.6029135531799215,0.784012936,0.81634,0.76832,0.694500426597376,0.882,0.882,0.81634
